#patm    pac   Rmax
26000.0    14000000.0   0.000427302
26000.0    16000000.0   0.000478774
26000.0    18000000.0   0.000529169
26000.0    20000000.0   0.000578522
26000.0    22000000.0   0.000626991
26000.0    24000000.0   0.000674756
26000.0    26000000.0   0.000721712
26000.0    28000000.0   0.000768086
26000.0    30000000.0   0.000813918
26000.0    32000000.0   0.000859108
26000.0    34000000.0   0.000903852
26000.0    36000000.0   0.000948157
26000.0    38000000.0   0.000991918
26000.0    40000000.0   0.00103534
26000.0    42000000.0   0.00107843
26000.0    44000000.0   0.00112106
26000.0    46000000.0   0.0011634
26000.0    48000000.0   0.0012053
26000.0    50000000.0   0.00124699
26000.0    52000000.0   0.00128833
26000.0    54000000.0   0.00132942
26000.0    56000000.0   0.00137022
26000.0    58000000.0   0.00141083
26000.0    60000000.0   0.00145112
26000.0    62000000.0   0.00149108
26000.0    64000000.0   0.00153089
26000.0    66000000.0   0.00157056
26000.0    68000000.0   0.00160984
26000.0    70000000.0   0.001649
26000.0    72000000.0   0.00168805
26000.0    74000000.0   0.00172669
26000.0    76000000.0   0.00176523
26000.0    78000000.0   0.00180374
26000.0    80000000.0   0.00184184
26000.0    82000000.0   0.00187991
26000.0    84000000.0   0.00191767
26000.0    86000000.0   0.00195548
26000.0    88000000.0   0.00199287
26000.0    90000000.0   0.00203027
26000.0    92000000.0   0.00206758
26000.0    94000000.0   0.00210447
26000.0    96000000.0   0.00214144
26000.0    98000000.0   0.00217823

28000.0    2000000.0   6.73488e-05
28000.0    4000000.0   0.00013693
28000.0    6000000.0   0.000198589
28000.0    8000000.0   0.000256279
28000.0    10000000.0   0.000311299
28000.0    12000000.0   0.000364332
28000.0    14000000.0   0.000415786
28000.0    16000000.0   0.000465939
28000.0    18000000.0   0.00051494
28000.0    20000000.0   0.000563023
28000.0    22000000.0   0.000610203
28000.0    24000000.0   0.000656655
28000.0    26000000.0   0.000702438
28000.0    28000000.0   0.000747511
28000.0    30000000.0   0.000792075
28000.0    32000000.0   0.000836101
28000.0    34000000.0   0.000879713
28000.0    36000000.0   0.000922778
28000.0    38000000.0   0.000965451
28000.0    40000000.0   0.00100764
28000.0    42000000.0   0.0010496
28000.0    44000000.0   0.00109108
28000.0    46000000.0   0.00113228
28000.0    48000000.0   0.00117315
28000.0    50000000.0   0.00121369
28000.0    52000000.0   0.00125398
28000.0    54000000.0   0.00129394
28000.0    56000000.0   0.00133361
28000.0    58000000.0   0.00137316
28000.0    60000000.0   0.00141233
28000.0    62000000.0   0.00145131
28000.0    64000000.0   0.00149006
28000.0    66000000.0   0.00152864
28000.0    68000000.0   0.00156691
28000.0    70000000.0   0.00160495
28000.0    72000000.0   0.00164296
28000.0    74000000.0   0.00168059
28000.0    76000000.0   0.00171813
28000.0    78000000.0   0.00175546
28000.0    80000000.0   0.00179276
28000.0    82000000.0   0.00182964
28000.0    84000000.0   0.00186648
28000.0    86000000.0   0.00190317
28000.0    88000000.0   0.00193976
28000.0    90000000.0   0.00197612
28000.0    92000000.0   0.00201226
28000.0    94000000.0   0.00204846
28000.0    96000000.0   0.00208435
28000.0    98000000.0   0.00212015

30000.0    2000000.0   6.53853e-05
30000.0    4000000.0   0.000133345
30000.0    6000000.0   0.000193509
30000.0    8000000.0   0.000249798
30000.0    10000000.0   0.000303469
30000.0    12000000.0   0.000355211
30000.0    14000000.0   0.000405375
30000.0    16000000.0   0.000454282
30000.0    18000000.0   0.000502125
30000.0    20000000.0   0.000549013
30000.0    22000000.0   0.000595049
30000.0    24000000.0   0.000640353
30000.0    26000000.0   0.000684996
30000.0    28000000.0   0.000729008
30000.0    30000000.0   0.000772447
30000.0    32000000.0   0.000815396
30000.0    34000000.0   0.000857897
30000.0    36000000.0   0.000899882
30000.0    38000000.0   0.000941488
30000.0    40000000.0   0.000982742
30000.0    42000000.0   0.00102353
30000.0    44000000.0   0.00106408
30000.0    46000000.0   0.00110426
30000.0    48000000.0   0.00114408
30000.0    50000000.0   0.00118368
30000.0    52000000.0   0.00122293
30000.0    54000000.0   0.00126194
30000.0    56000000.0   0.00130064
30000.0    58000000.0   0.00133912
30000.0    60000000.0   0.00137738
30000.0    62000000.0   0.00141542
30000.0    64000000.0   0.00145323
30000.0    66000000.0   0.00149077
30000.0    68000000.0   0.00152819
30000.0    70000000.0   0.00156525
30000.0    72000000.0   0.00160226
30000.0    74000000.0   0.00163912
30000.0    76000000.0   0.00167568
30000.0    78000000.0   0.00171216
30000.0    80000000.0   0.0017484
30000.0    82000000.0   0.00178449
30000.0    84000000.0   0.00182044
30000.0    86000000.0   0.00185621
30000.0    88000000.0   0.00189178
30000.0    90000000.0   0.00192724
30000.0    92000000.0   0.00196262
30000.0    94000000.0   0.00199782
30000.0    96000000.0   0.00203281
30000.0    98000000.0   0.00206775

32000.0    2000000.0   6.35799e-05
32000.0    4000000.0   0.000130068
32000.0    6000000.0   0.000188888
32000.0    8000000.0   0.000243893
32000.0    10000000.0   0.000296348
32000.0    12000000.0   0.000346899
32000.0    14000000.0   0.000395948
32000.0    16000000.0   0.000443714
32000.0    18000000.0   0.000490448
32000.0    20000000.0   0.000536266
32000.0    22000000.0   0.000581223
32000.0    24000000.0   0.000625528
32000.0    26000000.0   0.000669116
32000.0    28000000.0   0.000712131
32000.0    30000000.0   0.000754595
32000.0    32000000.0   0.000796561
32000.0    34000000.0   0.000838068
32000.0    36000000.0   0.000879123
32000.0    38000000.0   0.000919773
32000.0    40000000.0   0.000960039
32000.0    42000000.0   0.000999977
32000.0    44000000.0   0.00103952
32000.0    46000000.0   0.00107872
32000.0    48000000.0   0.00111773
32000.0    50000000.0   0.00115634
