# the cases were examined from time 10e-6 to 1.0
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_of_maxU_liq    max_U_liq
3D_run141_alphar5.75_dstar1.8   0.001125   0.0009   0.000182     0.0004931484    5.82988812293   1.82500845587  9.362396973e-05      151.07912
3D_run141_alphar5.75_dstar2.0   0.001125   0.001   0.000182     0.0004931484    5.82988812293   2.02778717319  9.301987602e-05      197.35177
3D_run141_alphar5.75_dstar2.15   0.001125   0.001075   0.000182     0.0004931484    5.82988812293   2.17987121118  9.238428396e-05      202.88001
3D_run141_alphar5.75_dstar2.3   0.001125   0.00115   0.000182     0.0004931484    5.82988812293   2.33195524917  9.189074348e-05      209.90787

3D_run141_alphar6.5_dstar0.3   0.00075   0.00015   0.000182     0.0004931484    6.59030831287   0.304168075979  0.0001025512823      41.213127
3D_run141_alphar6.5_dstar0.4   0.00075   0.0002   0.000182     0.0004931484    6.59030831287   0.405557434638  9.91280834e-05      50.809655
3D_run141_alphar6.5_dstar0.5   0.00075   0.00025   0.000182     0.0004931484    6.59030831287   0.506946793298  9.739121082e-05      61.886161
3D_run141_alphar6.5_dstar0.6   0.00075   0.0003   0.000182     0.0004931484    6.59030831287   0.608336151958  9.58938698e-05      71.454674
3D_run141_alphar6.5_dstar0.7   0.00075   0.00035   0.000182     0.0004931484    6.59030831287   0.709725510617  9.508970501e-05      78.807794
3D_run141_alphar6.5_dstar0.8   0.00075   0.0004   0.000182     0.0004931484    6.59030831287   0.811114869277  9.469840847e-05      83.783304
3D_run141_alphar6.5_dstar0.9   0.00075   0.00045   0.000182     0.0004931484    6.59030831287   0.912504227936  9.465314589e-05      88.565675
3D_run141_alphar6.5_dstar1.1   0.00075   0.00055   0.000182     0.0004931484    6.59030831287   1.11528294526  9.395237488e-05      95.911901
3D_run141_alphar6.5_dstar1.3   0.00075   0.00065   0.000182     0.0004931484    6.59030831287   1.31806166257  9.410671459e-05      105.51225
3D_run141_alphar6.5_dstar1.5   0.00075   0.00075   0.000182     0.0004931484    6.59030831287   1.52084037989  9.326232685e-05      116.29718
3D_run141_alphar6.5_dstar1.65   0.00075   0.000825   0.000182     0.0004931484    6.59030831287   1.67292441788  9.339154824e-05      126.50676
3D_run141_alphar6.5_dstar1.8   0.00075   0.0009   0.000182     0.0004931484    6.59030831287   1.82500845587  9.384677719e-05      162.70073
3D_run141_alphar6.5_dstar2.0   0.00075   0.001   0.000182     0.0004931484    6.59030831287   2.02778717319  9.27835686e-05      166.43994
3D_run141_alphar6.5_dstar2.15   0.00075   0.001075   0.000182     0.0004931484    6.59030831287   2.17987121118  9.258894098e-05      198.08489
3D_run141_alphar6.5_dstar2.3   0.00075   0.00115   0.000182     0.0004931484    6.59030831287   2.33195524917  9.199169889e-05      216.74269

3D_run141_alphar7.25_dstar0.3   0.000375   0.00015   0.000182     0.0004931484    7.35072850282   0.304168075979  0.0001025209812      41.056228
3D_run141_alphar7.25_dstar0.5   0.000375   0.00025   0.000182     0.0004931484    7.35072850282   0.506946793298  9.73941729e-05      62.138706
3D_run141_alphar7.25_dstar0.7   0.000375   0.00035   0.000182     0.0004931484    7.35072850282   0.709725510617  9.535017902e-05      78.78239
3D_run141_alphar7.25_dstar0.9   0.000375   0.00045   0.000182     0.0004931484    7.35072850282   0.912504227936  9.438060213e-05      87.503421
3D_run141_alphar7.25_dstar1.1   0.000375   0.00055   0.000182     0.0004931484    7.35072850282   1.11528294526  9.40659067e-05      96.175026
3D_run141_alphar7.25_dstar1.3   0.000375   0.00065   0.000182     0.0004931484    7.35072850282   1.31806166257  9.391534828e-05      105.80781
3D_run141_alphar7.25_dstar1.5   0.000375   0.00075   0.000182     0.0004931484    7.35072850282   1.52084037989  9.367632981e-05      118.71235
3D_run141_alphar7.25_dstar1.65   0.000375   0.000825   0.000182     0.0004931484    7.35072850282   1.67292441788  9.333292332e-05      125.51436
3D_run141_alphar7.25_dstar1.8   0.000375   0.0009   0.000182     0.0004931484    7.35072850282   1.82500845587  9.392275528e-05      165.56693
3D_run141_alphar7.25_dstar2.0   0.000375   0.001   0.000182     0.0004931484    7.35072850282   2.02778717319  9.291996316e-05      170.38512
3D_run141_alphar7.25_dstar2.15   0.000375   0.001075   0.000182     0.0004931484    7.35072850282   2.17987121118  9.251465963e-05      205.18781
3D_run141_alphar7.25_dstar2.3   0.000375   0.00115   0.000182     0.0004931484    7.35072850282   2.33195524917  9.197368651e-05      205.14425

3D_run141_alphar8.0_dstar0.3   0.0   0.00015   0.000182     0.0004931484    8.11114869277   0.304168075979  0.0001042743597      43.075707
3D_run141_alphar8.0_dstar0.4   0.0   0.0002   0.000182     0.0004931484    8.11114869277   0.405557434638  9.597711781e-05      37.713763
3D_run141_alphar8.0_dstar0.5   0.0   0.00025   0.000182     0.0004931484    8.11114869277   0.506946793298  9.753294491e-05      61.99854
3D_run141_alphar8.0_dstar0.6   0.0   0.0003   0.000182     0.0004931484    8.11114869277   0.608336151958  9.594651754e-05      71.07546
3D_run141_alphar8.0_dstar0.7   0.0   0.00035   0.000182     0.0004931484    8.11114869277   0.709725510617  9.539355988e-05      79.210238
3D_run141_alphar8.0_dstar0.8   0.0   0.0004   0.000182     0.0004931484    8.11114869277   0.811114869277  9.480432551e-05      83.33166
3D_run141_alphar8.0_dstar0.9   0.0   0.00045   0.000182     0.0004931484    8.11114869277   0.912504227936  9.44867308e-05      87.550476
3D_run141_alphar8.0_dstar1.1   0.0   0.00055   0.000182     0.0004931484    8.11114869277   1.11528294526  9.430127206e-05      96.760194
3D_run141_alphar8.0_dstar1.3   0.0   0.00065   0.000182     0.0004931484    8.11114869277   1.31806166257  9.415778002e-05      105.61689
3D_run141_alphar8.0_dstar1.5   0.0   0.00075   0.000182     0.0004931484    8.11114869277   1.52084037989  9.37111363e-05      117.77806
3D_run141_alphar8.0_dstar1.65   0.0   0.000825   0.000182     0.0004931484    8.11114869277   1.67292441788  9.32972096e-05      124.62672
3D_run141_alphar8.0_dstar1.8   0.0   0.0009   0.000182     0.0004931484    8.11114869277   1.82500845587  9.388089011e-05      159.18024
3D_run141_alphar8.0_dstar2.0   0.0   0.001   0.000182     0.0004931484    8.11114869277   2.02778717319  9.301179822e-05      175.1653
3D_run141_alphar8.0_dstar2.15   0.0   0.001075   0.000182     0.0004931484    8.11114869277   2.17987121118  9.26189558e-05      197.54527
3D_run141_alphar8.0_dstar2.3   0.0   0.00115   0.000182     0.0004931484    8.11114869277   2.33195524917  9.204032771e-05      213.97445
